Name,Code,Brand,Price,Details,Product Details,Quantity,URL,image URL,Scraped Description
Watermans Grow Me Shampo 250 Ml,121019079,Watermans,130.0,,,0.0,https://www.noon.com/saudi-en/growme-shampoo-250ml/Z85B056C24EE7E9DA7B36Z/p/?shareId=99f8207c-3ab5-4132-8700-abf3645813f9,https://f.nooncdn.com/p/pzsku/Z85B056C24EE7E9DA7B36Z/45/_/1729407432/916c1ea7-3c05-43bb-8a50-00a5d5ed7d13.jpg?width=800,"Online shopping for Watermans. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
Cerave Hydrating Foaming Oil Cleanser 473 Ml,121019097,CeraVe,95.0,,"<p><em><strong>Product Description</strong></em></p><ul>  <li>Developed with Dermatologists.  </li>  <li> Contains 3 Essential Ceramides to respect the skin\'s natural barrier.  </li>  <li> Soft foaming formula containing naturally occuring skin oils, that works to cleanse and comfort skin.  </li>  <li> Formulated with MVE Technology to lock in moisture, providing 24-hour hydration.  </li>  <li> Suitable for use on face and body. Suitable for babies. </li></ul>",3.0,https://www.nahdionline.com/en-sa/cerave-foaming-cleanser-for-normal-to-oily-skin-with-hyaluronic-acid-473-ml/pdp/101892685?srsltid=AfmBOoqYYuPwJD9pg1MAemshaXIZLdXxUvpue_SD6PbA9_RJDWAYF-3G,https://www.nahdionline.com/_next/image?url=https%3A%2F%2Fecombe.nahdionline.com%2Fmedia%2Fcatalog%2Fproduct%2F1%2F0%2F101892685_a87f10b4f71c1f802_12494.jpg%3Fwidth%3D1050%26height%3D1050%26canvas%3D1050%2C1050%26optimize%3Dhigh%26bg-color%3D255%2C255%2C255%26fit%3Dbounds&w=1920&q=75,Cerave Foaming Cleanser for Normal to Oily Skin with Hyaluronic Acid 473 ml
Cerave Moisturising Lotion 236 Ml,121019100,CeraVe,84.17,,"<h3><strong>Product Description:</strong></h3><p>Developed in collaboration with dermatologists, the hand cream 
helps protect and restore the protective skin barrier from harmful 
irritants. It contains three essential ceramides (1, 3, 6-II) that help 
restore and maintain the skin\'s natural protective barrier. 
Fragrance-free The cream also contains skin protective dimethicone, the 
waterproof, non-greasy, fast-absorbing and non-irritating formula 
features MVE technology for the gradual release of active ingredients 
for 24 hours that restore skin smooth and keep it smooth.&nbsp;</p><ul>
<li>Fragrance-free&nbsp;</li><li>Gentle and non-irritating formula Key ingredients:&nbsp;</li><li>Ceramides: ceramides are essential for healthy skin, help restore and 
maintain the skin\'s natural barrier&nbsp;</li><li>MVE technology: progressive 
release technology for 24-hour hydration&nbsp;</li><li>Hyaluronic acid: this 
ingredient attracts moisture to the skin's surface and helps retain 
hydration&nbsp;</li><li>Niacinamide: helps soothe skin</li></ul>",3.0,https://www.noon.com/saudi-en/moisturizing-lotion-for-dry-to-very-dry-skin-with-hyaluronic-acid-236ml/N23157381A/p/?shareId=6a7d731f-dc72-45ec-84b0-5aa0e9a4a282,https://f.nooncdn.com/p/pnsku/N23157381A/45/_/1760281696/0da54c90-d375-4fa6-9ae9-6fce99d608ff.jpg?width=800,"Online shopping for CeraVe. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
Cerave Hydrating Cleanser 473 Ml,121019103,CeraVe,105.0,,"<p><strong>Product Description:</strong></p><p>Developed with dermatologists, CeraVe Moisturizing Cleanser is a unique formula that cleanses, moisturizes, and helps restore the protective skin barrier with three essential ceramides (1, 3, 6-II). The formula also contains hyaluronic acid to help maintain skin\'s natural hydration. This moisturizing cleanser is designed to cleanse and refresh skin without over-stripping or leaving it tight and dry. </p><ul>
<li>Fragrance-free </li><li>Non-comedogenic </li><li>Non-drying </li><li>Gentle and non-irritating on skin </li></ul><h3>CeraVe Hydrating Cleanser For Dry SkinCleans and purifies</h3><ul>
<li>Removes dirt, make-up and impurities without weakening skin's natural protective barrier or drying it out.<br>Restores the skin's natural barrier and maintains its layers of hydration thanks to its gentle formula enriched with ceramides.<br>Rich in hyaluronic acid that moisturizes the skin.<br>Contains three essential ceramides that repair the skin barrier.<br>
<ul>
<li>Fragrance free.</li><li>It does not cause irritation or allergic reactions.</li><li>The first steps to starting a skincare routine.</li><li>Suitable fo dry skin.</li><li>It does not lead to the appearance of blackheads.</li><li>Non-drying.</li><li>Does not weaken the skin's protective barrier.</li><li>Developed in collaboration with dermatologists.</li></ul><h3>Information:</h3><ul>
<li>Fragrance free</li></ul><h3>Ingredients</h3></li></ul><ul>
<p>AQUA / WATER / EAU, GLYCERIN, CETEARYL ALCOHOL, PEG-40 STEARATE, STEARYL ALCOHOL, POTASSIUM PHOSPHATE, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, CARBOMER, GLYCERYL STEARATE, BEHENTRIMONIUM METHOSULFATE, SODIUM LAUROYL LACTYLATE, SODIUM HYALURONATE, CHOLESTEROL, PHENOXYETHANOL, DISODIUM EDTA, DIPOTASSIUM PHOSPHATE, TOCOPHEROL, PHYTOSPHINGOSINE, XANTHAN GUM, CETYL ALCOHOL, POLYSORBATE 20, ETHYLHEXYLGLYCERIN</p></ul>",9.0,https://www.amazon.sa/-/en/CeraVe-Hydrating-Cleanser-Normal-473ml/dp/B098VHDD9V?th=1,https://m.media-amazon.com/images/I/51Rm1TPP6SL._AC_SY879_.jpg,CeraVe Hydrating Cleanser For Normal to Dry Skin (473ml) : Buy Online at Best Price in KSA - Souq is now Amazon.sa: Beauty
La Roche Posay Effaclar Duo Cream 40Nl Anti Recurrence,121019143,La Roche Posay,170.43,,"<h1><strong>Product Description</strong></h1><p>Effaclar Duo (+) is a global action acne treatment and 24-hour hydrating face lotion that acts immediately on acne without drying the skin. Formulated with dermatological ingredients including salicylic acid. It is our best acne treatment that targets all stages of the pimple lifecycle, while ensuring perfect tolerance, even on sensitive skin. Thanks to its unique anti-recurrence action, it not only clears acne but also prevents recurring breakouts. It allows skin to heal and purifies clogged pores. This global acne treatment moisturizer has been tested on oily acne-prone skin, recurring imperfections, and persistent marks.</p><p>The 24-hour hydrating gel-cream spreads effortlessly on your skin, with a non-greasy finish, making it excellent for day and night use.</p><ul>
<li>Proven effectiveness within 12 hours of first use.</li><li>Formula suitable for oily and sensitive skin.</li><li>Dermatologist tested.</li><li>Fights the signs of aging.</li><li>Non-comedogenic.</li><li>Unifies skin tone.</li><li>Moisturizes the skin.</li></ul><h3>How to apply Effaclar Duo(+) for acne-prone skin:</h3><ul>
<li>STEP 1: Cleanse your skin with a gentle, non-irritating cleanser, such as Effaclar Gel.</li><li>STEP 2: Take a hazelnut-sized amount of Effaclar Duo (+) lotion and warm it in your hands to facilitate its absorption.</li><li>STEP 3: Apply a thin layer to your forehead, then use light strokes to spread it on your face. It can be used 1 to 3 times daily.</li></ul><p>For new users: apply Effaclar Duo(+) to a small area once a day for three days to test if you are sensitive to this product. If no discomfort occurs, cover the entire affected area with a thin layer. Start with one application daily, then gradually increase to two or three times daily, if needed. If dryness or peeling occurs, reduce application to once a day or every other day.</p><dt>Ingredients</dt><dd>
<p>Ingredients: Aqua/ Water, Glycerin, Dimethicone, Isocetyl Stearate, Niacinamide, Isopropyl Lauroyl Sarcosinate, Silica, Ammonium Polyacryloyldimethyl Taurate, Methyl Methacrylate Crosspolymer, Potassium Cetyl Phosphate, Sorbitan Oleate, Zinc Pca, Glyceryl Stearate Se, Isohexadecane, Sodium Hydroxide, Myristyl Myristate, 2-Oleamido-1, 3-Octadecanediol, Aluminum Starch Octenylsuccinate, Mannose, Poloxamer 338, Disodium Edta, Capryloyl Salicylic Acid, Caprylyl Glycol, Vitreoscilla Ferment, Xanthan Gum, Polysorbate 80, Acrylamide/ Sodium Acryloyldimethyltaurate Copolymer, Bht, Salicylic Acid, Piroctone Olamine, Parfum /Fragrance, (Code F.I.L.: B214027/1).</p></dd>",4.0,https://www.amazon.sa/-/en/Roche-Posay-Effaclar-Anti-Acne-Cream-40ml/dp/B07F47HYTP,https://m.media-amazon.com/images/I/41QE45Yhw0L._AC_SX679_.jpg,La Roche-Posay Effaclar Duo (+) Anti-Acne Cream 40ml : Buy Online at Best Price in KSA - Souq is now Amazon.sa: Beauty
Isis Neotone Serum 30 Ml,121019213,ISIS,282.9,,"<p><strong>Product Description</strong></p><ul>  
<li>State Of Art Science Based Whitening  </li>  
<li> Innovative Anti Dark Spot Solution , Effect From 1St Month  </li>  
<li> Exfoliates Dark Spots  </li>  
<li> Regain skin brightness  </li>  
<li> Used at night , once daily </li></ul><p><strong>Direction</strong></p><p>Apply to the face, avoiding the eyelids, once a day. Use with an SPF20 
or higher product. Avoid exposure to the sun. In case of contact with 
eyes, rinse immediately with plenty of water. In case of irritation, 
space out the uses and in case of persistence, stop using the product 
and consult a doctor.</p>",6.0,https://www.noon.com/saudi-en/isis-pharma-neotone-intensive-serum-30-ml/Z7DB89F71E97044541563Z/p/,https://f.nooncdn.com/p/pzsku/Z7DB89F71E97044541563Z/45/_/1702897327/e31b7620-628e-43a1-9dd2-9ed5530158d9.jpg?width=800,"Online shopping for ISIS PHARMA. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
Hot Perfect Busty Booster Cream 100 Ml,121019236,Hot,258.0,,"<h2><strong>Product Description:</strong></h2><p>Hot Perfect Busty Booster Cream – 100ml</p><p>Enhance your curves and boost your confidence with Hot Perfect Busty Booster Cream. Experience the benefits of a fuller, firmer bust with our advanced 100ml formula.. This 100ml cream is formulated to enhance the appearance of your bust, providing noticeable volume and contour with regular use.</p><h4>Key Benefits:</h4><ul>
<li>Enhanced Volume: Hot Perfect Busty Booster Cream is designed to give your bust a fuller appearance, helping you achieve a more voluptuous and shapely look.</li><li>Firming Effect: The cream helps to firm and tone the bust area, improving the overall contour and firmness of your skin.</li><li>Premium Formula: Enriched with high-quality ingredients, this cream delivers effective results for noticeable improvements in bust appearance.</li></ul><h4>How to Use:</h4><ol>
<li>Cleanse: Ensure that your skin is clean and dry before application.</li><li>Apply: Dispense a small amount of cream onto your fingertips and gently massage into the bust area using circular motions.</li><li>Absorb: Allow the cream to fully absorb into the skin. For best results, use the cream twice daily.</li><li>Consistency: Regular use is key to achieving and maintaining the desired results.</li></ol><h4>Ingredients:</h4><ul>
<li>Bust Enhancing Complex: A blend of ingredients designed to promote fuller and firmer bust appearance.</li><li>Hydrating Agents: To ensure that the skin remains moisturized and supple.</li></ul><h4>Packaging:</h4><p>The Hot Perfect Busty Booster Cream comes in a 100ml bottle, featuring an easy-to-use pump for convenient application. The size is perfect for daily use and offers a generous supply for noticeable results.</p>",8.0,https://sts-stores.com/en/hot-perfect-busty-booster-cream-for-women---100-ml/p1792309611?srsltid=AfmBOopJQmbG5Aacu-8fZZQUXX_VDfnCEbQqQx6vnF3jjc8_U23iUtKf,https://cdn.salla.sa/XPpdO/lbZ34bcFkF7oWD5LKTzdFOLq6n25ldDIiHAAHyvZ.jpg,كريم هوت بيرفكت 100مل لمنطقة الصدر كريم تحفيز تكبير الصدر
Ghalior Paris Blur Fix Foundation (N 621) 400372,121019245,Ghalior Paris,73.9,,"<p><strong>Product Description:<br></strong></p><p>FOUNDATION BULR FIX is a perfect combination offering natural beauty and
 skin care. Its vegan formula protects your skin softly, leaving a 
feeling of comfort and pleasure thanks to its delicate fragrance. The 
FOUNDATION BLUR FIX offers a flexible coverage of your imperfections 
thanks to its rich formula in high definition pigments. Its smooth and 
silky texture promises a pleasant application, for a perfectly matte 
look. Conceals all skin imperfections for a flawless finish. Does not 
dry your skin and leaves it perfectly silky.Vegan formula High coverage 
& long lastingno transfer & Matte finish.Suitable for all skin 
types. Available in 4 shades</p>",7.0,noon.com/saudi-en/blur-fix-foundation-beige-clair-n621/Z77CBC325EF6D690E3AC6Z/p/,https://f.nooncdn.com/p/pzsku/Z77CBC325EF6D690E3AC6Z/45/1750163592/101a3f42-0078-4de2-a8c6-b5cd000c5079.jpg?width=800,
Ghalior Paris Blur Fix Foundation (N 622) 400389,121019246,Ghalior Paris,73.9,,"<p><strong>Product Description:<br></strong></p><p>FOUNDATION BULR FIX is a perfect combination offering natural beauty and skin care.</p><p>Its vegan formula protects your skin softly, leaving a feeling of comfort and pleasure thanks to its delicate fragrance.#</p><p>The FOUNDATION BLUR FIX offers a flexible coverage of your imperfections thanks to its rich formula in high definition pigments,</p><p>Its smooth and silky texture promises a pleasant application, for a perfectly matte look.</p><p>Conceals all skin imperfections for a flawless finish</p><p>Does not dry your skin and leaves it perfectly silky</p><p>EFFICIENCY<br>- Vegan formula<br>- High coverage / long lasting<br>- no transfer / Matte finish<br>- Suitable for all skin types<br>- Available in 4 shades<br><br>INSTRUCTIONS FOR USE:<br>for the first time, Squeeze the pump a few times to release the liquid pump , apply foundation abute 1gr evenly all over the face with a dense brush or beauty sponge. For best application, pair with the GhaliÕor paris Perfection primer matte finish</p>",4.0,https://ghalior-paris.com/en/gZmbYDW?srsltid=AfmBOoo70w1kGi99Iq5p5EYwUfRzl6SsjY5A24ggt7l0XtyJ1IpXPfF3,https://cdn.salla.sa/AzEKGA/aca9a2f5-e9ce-4bc7-82ea-ea334fc5cffc-1000x1000-FfSqj8aVrAqKb81mNxpWYCGhTAq44DWYd0EOkxhi.png,احصلي على إطلالة خالية من العيوب تدوم طوال اليوم مع كريم أساس بلر فكس، الذي يمنحك تغطية كاملة ومظهرًا ناعمًا وطبيعيًا. رقم 621 الدرجة الثانية من فاونديشن غاليور...
Ghalior Paris Blur Flx Correceur (N01) 400495,121019251,Ghalior Paris,50.0,,"<p><strong>Product Description:<br></strong></p><p>The &lt;< CONCEALER>> offers a flexible coverage of your imperfections thanks to its rich formula in high definition pigments.<br>Its smooth and silky texture promises a pleasant application, for a perfectly matte look.<br>Concealer Blur Fix is a perfect combination offering natural beauty and skin care.</p><p>EFFICIENCY<br>- Its vegan formula protects your skin softly.<br>- leaving a feeling of comfort and pleasure thanks to its delicate fragrance.<br>- Does not dry your skin and leaves it perfectly silky<br>- long lasting & High coverage<br>- no transfer & Matte finish<br>- Easily applied with a sponge<br>- Suitable for all skin types<br>- Available in 4 shades</p><p>INSTRUCTIONS FOR USE:<br>After pressing the tube, apply a thin layer with the sponge by tapping.</p><p>Adjust by reapplying little by little until the skin defect disappears. Blend by stretching on the contours.</p><p>For external use only.</p>",15.0,https://mazeed.sa/en/products/blur-fix-corrector-beige-clair-n-01-ghalior-paris?id=282f1e21-20a1-4c51-9d68-911e010f4200&srsltid=AfmBOopwTqpSdRZllQVczBBjBwD1BAWTDaSpp2-zCCkowpMTflbLKolF,"https://media.zid.store/cdn-cgi/image/width=876,height=876,f=auto,fit=cover/https://media.zid.store/74a8893d-0b86-4a4a-96cd-bbfa34d7467b/a4671ed9-3379-4035-9b6b-c38e2b0bbd44.png","Say goodbye to dark circles and imperfections with Blur Fix Correcteur. ✨
Lightweight formula provides natural, flawless coverage with no caking. 💧
Long-lasting up to 12 hours, suitable for all skin types, even sensitive. 🌿"
