PIM | Brand,UPC Code,English Description,COST
Ducray,121019590,"<p><strong>Highlights:</strong></p><ul><li>Helps reduce the appearance of chronic hair loss</li><li>A revitalizing lotion to revitalize and strengthen for stronger, healthier looking hair. </li></ul>",332.0
Yardly,121019632,,20.0
Gillette,121019636,,30.0
Gillette,121019638,<p><strong>Highlights:</strong></p><ul><li>Intensely hydrates the skin making it supple and silky</li><li>Give You A Clean Look After Shaving</li></ul>,31.0
Gillette,121019642,,60.0
Nexcare,121019652,"<p><strong>Highlights:</strong></p><ul><li>A gel-filled pack to use either cold or hot to help relief pain</li><li>Ideal for toothaches, nosebleeds, insect bites for pain and swelling</li><li>Essential product for the household if you have kids</li></ul>",28.0
Nexcare,121019653,,21.0
Professional,121019664,"<p><strong>Highlights:</strong></p><li> Their gentle exfoliating properties buff away dead surface 
cells, promoting greater hydration and enhancing the absorption of your 
skincare products.  </li><li>
 A natural exfoliator made from the fibrous interior of the loofah 
plant.</li><li>Use with your favorite liquid or bar soap to remove dead skin 
cells, stimulates blood circulation, and leaves your skin smooth.  </li><li>
 Also great for household cleaning and scrubbing. </li>",19.0
NOW,121019720,,100.0
Lee Stafford,121019741,,95.45
La Roche Posay,121019754,,131.0
La Roche Posay,121019756,,128.7
Vichy,121019760,,216.53
Royce,121019773,,165.0
Kooln Soothe,121019786,,45.0
Durex,121019798,<p><strong>Highlights:<br></strong></p><ul><li>Durex Play Sweet Strawberry is a fun and tasty way to sweeten up your sex life</li><li>Infused with the fresh taste and aroma of strawberries for a guilt free pleasure</li><li>Water Based</li><li>Safe to use with all Durex Condoms</li><li>Durex meets worldwide quality standards</li></ul>,47.0
CeraVe,121019802,"<p><strong>Highlights:</strong></p><ul><li>It cleans, moisturizes and helps restore the skin’s protective defenses</li><li>Enriched with 3 Essential Ceramides and Hyaluronic Acid</li><li>Gentle on the complexion</li></ul>",117.99
La Roche Posay,121019806,,103.47
