PIM | Brand,UPC Code,Arabic Description,English Description,TAX  ,COST,GTIN (Internal ID),Category,Sub Category,Sub Sub Category,Image 1 URL,Image 2 URL,Image 3 URL
Amara,720595401449,امارا عدسات ملونه شهريه ساسي,Amara Colored Lens Sassy Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2NzI4NjksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:3424d74a3a50d9e47cd948ac9750d21e7a982ad5706798aec2be92f531fbe79e/YGyv8nAvTOmPuDkyrmWX",,
Amara,720158967375,امارا عدسات ملونه شهريه سنيك,Amara Colored Lens Snake Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMTI0OTgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:6e2633942556bcf33dff57c1622b8e27f0112b051f9c0e11dec7e751c78b480a/yXDwO52WRxKEDDSL6zKF",,
Amara,2200000040459,امارا عدسات ملونه شهريه دارك سيبيا,Amara Colored Lens Dark Sepia Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjQ5ODI4NTgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:875c8449c7df9186f0db084196baaccfee19c8b75e2704ee558f4362da76c8fe/iy6EIJcUTzqz9JN3femz",,
Amara,720158966897,امارا عدسات ملونه شهريه جنجر بريد,Amara Colored Lens Ginger Bread Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMTIxNTYsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:7a6abebb8e65730a8f987acd20978f5455642acf40c4da609da96759bb5da71a/7R7NMqCITPGNWNRU6OuZ",,
Amara,720158965883,امارا عدسات ملونه شهريه الموند,Amara Colored Lens Almond Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMTIxNDQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:4e30dd092ef1b8e0e8e673b498de69526578b5cc46fb14c4ef9d8907ce2ce08a/kFNSGxJ0QsNzKRr1cDo4",,
Anastasia Beverly Hills,689304055123,اناستازيا بيفرلي هيلز بودره الحواجب مديم براون,Anastasia Beverly Hills Eyebrow Powder Medium Brown,TAX 15%,46.8,,Makeup,Eye Makeup,Eyebrow Powder,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYyOTY0MzQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:82d5ad1bc0a81b2e8e3850f197b376ee01d8a04255ea6f7d0bf325876bed299d/YVmlpjxTheHx93CMfxOF",,
Anastasia Beverly Hills,689304051019,اناستازيا بيفرلي هيلز جل الحواجب ديبرو بلوند,Anastasia Beverly Hills Eyebrow Gel Dipbrow Blonde,TAX 15%,46.8,,Makeup,Eye Makeup,Eyebrow Gel,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2NzIzOTIsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:b25ff4e4c42dcb695ceec0ec363d9c6df28963c09b5ee42877a80fbc4019f461/Am4cw16HSJqs2MTM1GFG","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2NzI0NDYsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:70d6222b8d13e1af5cb251cc6aba9f17889d7309142ca34795972b93dc1293b0/GW2jNAUMTeOLbSg2p5tS",
Anastasia Beverly Hills,689304051101,اناستازيا بيفرلي هيلز جل الحواجب ديبرو جرانيت,Anastasia Beverly Hills Eyebrow Gel Dipbrow Granite,TAX 15%,46.8,,Makeup,Eye Makeup,Eyebrow Gel,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwNzkwOTQ2OTcsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:8c2c8d20651fc9f9ca819c1d195225fcf103208e8ffa9e509aa856d15c27d5fe/t0g8EW9ITlGK1lfsluPh","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwNzkwOTQ3NDAsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:e6f991fbb8dcbad4b033557c2be4d45a5ca727318649b56109d5731944894834/LjPEOgrcSTiQVPdSuSPw",
Anastasia Beverly Hills,689304051088,اناستازيا بيفرلي هيلز جل الحواجب ديبرو سوفت براون,Anastasia Beverly Hills Eyebrow Gel Dipbrow Soft Brown,TAX 15%,46.8,,Makeup,Eye Makeup,Eyebrow Gel,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwNzkwOTQ4MjgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:11643ddb9f4d41b9133c17203a7ca1232b95fec7847ae03ebbb808d618f81f0a/8KgZSKGT4WH3pFVLj0qk","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwNzkwOTQ5MzAsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:e12642e21f1bfd4d4d28dc8d2ee71f610f2f5c52949f9b89e962296a27383615/RddBcCWmQNukEWmtYVoa",
Anastasia Beverly Hills,689304214216,اناستازيا بيفرلي هيلز محدد عيون جل دارك سايد مقاوم للماء,Anastasia Beverly Hills Gel Liner Darkside Waterproof,TAX 15%,63,,Makeup,Eye Makeup,Gel Liner,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjQ5MjgzMTksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:b73e47509eb6ed69524ed49ac65f30192408b653398693980f446605e1b69ca7/uibGlfwqTc6A8ZaQwcmp",,
